order_id,customer_id,product_id,payment_id,order_date,quantity,total_amount,name,email,country,product_name,category,price,sales_value,order_month
1,1,1,1,2025-08-19 07:35:08.364172,5,144.76,Customer 1,customer1@example.com,Canada,Laptop 1,Beauty,144.76,723.8,2025-08
2,2,2,2,2026-03-11 07:35:08.364262,1,360.85,Customer 2,customer2@example.com,Usa,Keyboard 2,Home,360.85,360.85,2026-03
3,3,3,3,2025-12-08 07:35:08.364480,5,57.39,Customer 3,customer3@example.com,Canada,Smartphone 3,Books,57.39,286.95,2025-12
4,4,4,4,2026-06-21 07:35:08.364521,2,355.24,Customer 4,customer4@example.com,India,Mouse 4,Home,355.24,710.48,2026-06
5,5,5,5,2025-10-31 07:35:08.364561,2,338.39,Customer 5,customer5@example.com,India,Camera 5,Home,338.39,676.78,2025-10
6,6,6,6,2026-04-14 07:35:08.364600,5,1238.04,Customer 6,customer6@example.com,India,Laptop 6,Home,412.68,2063.4,2026-04
7,7,7,7,2025-10-06 07:35:08.364636,4,156.84,Customer 7,customer7@example.com,Australia,Headphones 7,Fashion,78.42,313.68,2025-10
8,8,8,8,2026-01-17 07:35:08.364679,5,176.78,Customer 8,customer8@example.com,Canada,Headphones 8,Beauty,88.39,441.95,2026-01
9,9,9,9,2026-03-19 07:35:08.364719,5,153.82,Customer 9,customer9@example.com,France,Camera 9,Electronics,153.82,769.0999999999999,2026-03
10,10,10,10,2026-07-22 07:35:08.364757,1,767.26,Customer 10,customer10@example.com,Germany,Headphones 10,Fashion,383.63,383.63,2026-07
11,11,11,11,2025-10-23 07:35:08.364799,2,978.42,Customer 11,customer11@example.com,Canada,Printer 11,Electronics,489.21,978.42,2025-10
12,12,12,12,2025-12-12 07:35:08.364836,1,497.62,Customer 12,customer12@example.com,Germany,Smartwatch 12,Books,497.62,497.62,2025-12
13,13,13,13,2026-02-12 07:35:08.364873,1,1070.52,Customer 13,customer13@example.com,Germany,Laptop 13,Electronics,356.84,356.84,2026-02
14,14,14,14,2025-12-23 07:35:08.364911,3,811.34,Customer 14,customer14@example.com,Australia,Tablet 14,Books,405.67,1217.01,2025-12
15,15,15,15,2025-10-30 07:35:08.364950,4,366.82,Customer 15,customer15@example.com,Canada,Laptop 15,Books,366.82,1467.28,2025-10
16,16,16,16,2026-05-07 07:35:08.364988,4,69.58,Customer 16,customer16@example.com,Australia,Keyboard 16,Electronics,34.79,139.16,2026-05
